,tournament,year,participants,event,event_name
fgshzlcn,SFR AND SFL NOVICE TOURNAMENT,"2020 — Online, SD/US",72,PF,Public Forum
niptndrt,GOLDEN EAGLE CUP,"2020 — Online, SD/US",20,LD,Varsity Lincoln Douglas
bxsiygsw,GOLDEN EAGLE CUP,"2020 — Online, SD/US",14,LD,Novice LD
wrmwlott,GOLDEN EAGLE CUP,"2020 — Online, SD/US",9,PF,JV Public Forum
tmocvuge,GOLDEN EAGLE CUP,"2020 — Online, SD/US",25,PF,Novice Public Forum
cqfrnvwv,GOLDEN EAGLE CUP,"2020 — Online, SD/US",14,PF,Varsity Public Forum
bhzgyoxe,ABERDEEN RINGNECK NOVICE DEBATE TOURNAMENT,"2020 — Online, SD/US",13,LD,Novice Lincoln Douglas
fgrvzinf,ABERDEEN RINGNECK NOVICE DEBATE TOURNAMENT,"2020 — Online, SD/US",22,PF,Cohort 1 Novice Public Forum
lhinqxqd,ABERDEEN RINGNECK NOVICE DEBATE TOURNAMENT,"2020 — Online, SD/US",22,PF,Cohort 2 Novice Public Forum
xvflnxmu,ABERDEEN RINGNECK NOVICE DEBATE TOURNAMENT,"2020 — Online, SD/US",19,PF,Cohort 3 Novice Public Forum
fntrnojf,ABERDEEN RINGNECK NOVICE DEBATE TOURNAMENT,"2020 — Online, SD/US",20,PF,Cohort 4 Novice Public Forum
ylmvwlkd,THE RUSHMORE CHALLENGE,"2020 — Harrisburg, SD/US",9,LD,Novice LD
vtbnbbay,THE RUSHMORE CHALLENGE,"2020 — Harrisburg, SD/US",22,LD,Varsity LD
pscjyjft,THE RUSHMORE CHALLENGE,"2020 — Harrisburg, SD/US",24,PF,Novice PF
lgxsjugy,THE RUSHMORE CHALLENGE,"2020 — Harrisburg, SD/US",37,PF,Varsity PF
xstklukq,CFC 3 ROOSEVELT,"2020 — Sioux Falls, SD/US",5,LD,Novice Lincoln-Douglas
hppmrmja,CFC 3 ROOSEVELT,"2020 — Sioux Falls, SD/US",6,LD,Varsity Lincoln-Douglas
rsqhvyrw,CFC 3 ROOSEVELT,"2020 — Sioux Falls, SD/US",21,PF,Novice Public Forum
pxhpmwev,CFC 3 ROOSEVELT,"2020 — Sioux Falls, SD/US",20,PF,Varsity Public Forum
