"","event","tournament","gender","pts","division","win","judge_gender","round","year"
"325","PF","bell",1,26,"JV",0,0,"prelim",2015
"326","PF","harrisburg",0,26,"V",1,0,"prelim",2020
"327","PF","jeff",0,28,"V",0,0,"prelim",2021
"328","PF","jeff",1,27,"N",0,0,"prelim",2021
"329","PF","gec",0,NA,"N",0,0,"prelim",2021
"330","PF","silver",0,27.5,"JV",0,0,"prelim",2021
"331","PF","silver",0,28,"JV",1,0,"prelim",2015
"332","PF","gec",NA,NA,"N",0,0,"prelim",2021
"333","PF","bell",1,23,"N",1,0,"prelim",2020
"334","PF","harrisburg",0,28,"V",1,0,"prelim",2020
"335","PF","gec",NA,NA,"V",1,0,"prelim",2021
"336","PF","harrisburg",1,29,"V",1,0,"prelim",2020
"337","PF","harrisburg",1,27,"N",1,0,"prelim",2020
"338","PF","warrior",0,29,"V",1,0,"prelim",2020
"339","PF","bell",0,29,"V",1,0,"prelim",2015
"341","PF","yankton",NA,27.5,"N",1,0,"prelim",2021
"346","PF","yankton",1,28,"N",1,0,"prelim",2021
"347","PF","yankton",0,28.5,"N",1,0,"prelim",2021
"348","PF","novice",0,29,"N",1,1,"prelim",2016
"350","PF","novice",1,29,"N",0,1,"prelim",2016
"351","PF","cfc",0,29,"N",0,1,"prelim",2017
"352","PF","novice",1,29,"N",1,1,"prelim",2016
"357","PF","silver",1,29,"V",1,1,"prelim",2021
"358","PF","gec",0,NA,"V",0,1,"prelim",2021
"359","PF","jeff",1,29,"N",1,1,"prelim",2021
"360","PF","harrisburg",NA,30,"V",1,1,"prelim",2020
"361","PF","warrior",1,28,"N",0,1,"prelim",2020
"362","PF","silver",1,28,"N",1,1,"prelim",2020
"363","PF","cfc",0,27,"N",1,1,"prelim",2019
"364","PF","jeff",1,28,"N",0,1,"prelim",2021
"365","PF","warrior",1,29,"V",1,1,"prelim",2020
"366","PF","mcgov",1,28,"V",0,1,"prelim",2021
"367","PF","gec",1,NA,"V",1,1,"prelim",2021
"368","PF","silver",1,29,"V",0,1,"prelim",2021
"369","PF","yankton",0,28,"N",0,1,"prelim",2021
"370","PF","mcgov",1,29.5,"V",1,1,"prelim",2021
"372","PF","silver",1,29,"V",1,1,"prelim",2020
"373","PF","yankton",NA,29,"JV",1,1,"prelim",2021
"374","PF","mcgov",0,29.5,"V",0,1,"prelim",2018
"375","PF","gec",1,NA,"V",0,1,"prelim",2021
"376","PF","bell",1,28,"JV",1,1,"prelim",2021
"377","PF","mcgov",1,28,"N",0,1,"prelim",2021
"378","PF","RAPID CITY STEVENS PENGUIN CLASSIC",1,NA,"V",0,1,"prelim",2021
"380","PF","warrior",1,28,"JV",0,1,"prelim",2020
"381","PF","gec",1,NA,"V",0,1,"prelim",2021
"382","PF","yankton",0,29,"V",0,1,"prelim",2019
"383","PF","jeff",1,29,"V",0,1,"prelim",2021
"384","PF","harrisburg",0,28.5,"V",0,1,"prelim",2020
"385","PF","warrior",1,27.5,"JV",0,1,"prelim",2020
"386","PF","sweet",0,27,"V",0,1,"prelim",2019
"388","PF","yankton",NA,28,"V",1,1,"prelim",2020
"389","PF","bell",1,28,"N",1,1,"prelim",2019
"390","PF","bell",1,28,"N",1,1,"prelim",2020
"391","PF","bell",1,28,"N",1,1,"prelim",2020
"392","PF","cfc",1,26,"V",1,1,"prelim",2017
"394","PF","bell",1,25.3,"N",0,1,"prelim",2020
"399","PF","novice",0,27,"N",1,1,"prelim",2017
"403","PF","novice",0,26,"N",1,1,"prelim",2017
"404","PF","novice",0,27,"N",0,1,"prelim",2017
"408","PF","novice",1,27,"N",1,1,"prelim",2017
"411","PF","silver",1,29,"N",1,1,"prelim",2020
"412","PF","novice",0,24,"N",0,1,"prelim",2017
"419","PF","novice",1,27,"N",0,1,"prelim",2017
"420","PF","novice",1,25,"N",0,1,"prelim",2017
"421","PF","silver",0,29,"V",1,1,"prelim",2020
"422","PF","harrisburg",NA,27,"N",0,1,"prelim",2019
"423","PF","harrisburg",0,28,"V",0,1,"prelim",2016
"424","PF","mcgov",1,28,"V",1,1,"prelim",2018
"425","PF","cfc",1,28,"V",1,1,"prelim",2018
"426","PF","sweet",0,27,"V",1,1,"prelim",2017
"427","PF","harrisburg",0,29,"V",1,1,"prelim",2017
"428","PF","sweet",0,27,"V",1,1,"prelim",2016
"429","PF","cfc",1,27,"V",1,1,"prelim",2018
"430","PF","harrisburg",0,29,"V",1,1,"prelim",2016
"431","PF","sweet",1,28,"V",1,1,"prelim",2016
"433","PF","harrisburg",0,29,"V",0,1,"prelim",2017
"434","PF","harrisburg",0,30,"V",1,1,"prelim",2017
"435","PF","sweet",1,29,"V",1,1,"prelim",2017
"437","PF","sweet",0,27.5,"V",1,1,"prelim",2016
"438","PF","mcgov",NA,25,"N",1,1,"prelim",2021
"439","PF","bell",1,27,"N",1,1,"prelim",2015
"440","PF","silver",0,27,"JV",1,1,"prelim",2018
